Number of Clusters,Agglomerative Silhouette,K-Means Silhouette
2,0.45074731084264713,0.46355042009945696
3,0.42811171923745645,0.3107256787603087
4,0.24600077233774065,0.30036406948847555
5,0.24275918838610014,0.2988504529184434
6,0.22876931297801126,0.29604805496779435
7,0.22477600098252845,0.28656970826684675
